event_id,date,category,company,product,location,source,url,summary,title,funding_usd
7a9e9a2a-3c53-4249-a52b-e8438d9c78c4,"Wed, 26 Fe",FUNDING_EVENT,,,,TechCrunch AI,https://techcrunch.com/2025/02/25/elevenlabs-is-now-letting-authors-create-and-publish-audiobooks-on-its-own-platform/,"Voice AI company ElevenLabs is now letting authors publish AI-generated audiobooks on its own Reader app, TechCrunch has learned and the company confirmed. The announcement comes days after the company partnered with Spotify for AI-narrated audiobooks.",ElevenLabs now lets authors create and publish audiobooks on its own platform,180000000
b9bbba85-0329-402f-b2e3-371b08f1392d,"Wed, 24 Ju",FUNDING_EVENT,Beyond Trajectory Imitation,Qwen,,arXiv cs.AI,https://arxiv.org/abs/2606.24064,"arXiv:2606.24064v1 Announce Type: new 
Abstract: Distilling reasoning capabilities from strong to weak language models typically involves imitating specific solution trajectories, effectively transferring what to answer rather than how to reason. This trajectory-level imitation encourages memoriz...",Beyond Trajectory Imitation: Strategy-Guided Policy Optimization for LLM Reasoning,
96f41a84-39ee-4c29-bb22-9500196202a4,"Wed, 24 Ju",FUNDING_EVENT,Chemical-Informed Gaussian Processes for Reaction Network Discovery,,,arXiv cs.LG,https://arxiv.org/abs/2606.23757,"arXiv:2606.23757v1 Announce Type: new 
Abstract: Extracting interpretable governing equations from sparse, noisy chemical time-series data remains difficult because discrete reaction topology and continuous kinetic parameters are tightly coupled. We present PC-MCMC-CIGP, a reproducible gray-box w...",Synergizing Physically Constrained MCMC and Chemical-Informed Gaussian Processes for Reaction Network Discovery,
b1a6ecbc-7bcf-40d6-b19c-140054a5a97e,"Wed, 24 Ju",FUNDING_EVENT,ARIA,,,arXiv cs.LG,https://arxiv.org/abs/2606.23898,"arXiv:2606.23898v1 Announce Type: new 
Abstract: Distilling conditional diffusion models aims to transfer the behavior of a large teacher to a smaller student while preserving alignment across conditioning inputs. Unlike recognition tasks, knowledge distillation in conditional diffusion often str...",ARIA: Adaptive Region-Based Importance Allocation for Conditional Diffusion Distillation,
06257adf-fbf2-49cf-b0bf-41cf92bf86ab,"Wed, 17 Ju",FUNDING_EVENT,Skill-Constrained Model Predictive Control for Resilient Manufacturing Supply Chains,,,arXiv cs.AI,https://arxiv.org/abs/2606.17269,"arXiv:2606.17269v1 Announce Type: new 
Abstract: In skill-constrained production-inventory systems, the qualified human capacity available tomorrow depends on training decisions made today: production requires certified workers, certifications decay unless maintained, and training consumes the sa...",Skill-Constrained Model Predictive Control for Resilient Manufacturing Supply Chains,
f987e244-45ca-4286-8b43-f382c8f84c39,"Wed, 17 Ju",FUNDING_EVENT,ELK,Phi-3,GPT-2,arXiv cs.LG,https://arxiv.org/abs/2606.17229,"arXiv:2606.17229v1 Announce Type: new 
Abstract: A model that lies while knowing the truth is the central case ELK cannot handle with behavioral evaluation alone. We ask whether such deception leaves an internal signature distinguishing it from honest error.",Rift: A Conflict Signature for Deception in Language Models,
b6c48d71-7099-4a0c-8c27-8f24d581fa2c,"Wed, 17 Ju",FUNDING_EVENT,,,,arXiv cs.LG,https://arxiv.org/abs/2606.17331,"arXiv:2606.17331v1 Announce Type: new 
Abstract: Geosteering requires navigating a well trajectory through an unknown geological configuration, while sequentially updating decisions based on indirect measurements acquired during drilling. This work presents an uncertainty-aware geosteering framew...",Decision-Driven Geosteering Under Uncertainty: A Unified Framework for Sequential Decision Optimization,
755168c9-a44b-4777-97f8-d074a6dcb421,"Wed, 15 Ju",FUNDING_EVENT,Anthropic,Claude,,VentureBeat AI,https://venturebeat.com/ai/agentic-orchestration-enterprise-ai-organizations-have-a-deployment-problem-not-a-platform-problem-and-most-are-calling-chatbots-agents,"<p>Across 101 enterprises, agent orchestration is consolidating onto model-provider platforms — Anthropic’s Claude leads by a wide margin — chosen for the gravity of the underlying model and judged on reliable multi-step execution. But the ambition runs well ahead of the reality: most deployed “a...","Agentic orchestration: Enterprise AI organizations have a deployment problem, not a platform problem — and most are calling chatbots agents",
b51d3b33-163f-4002-9ef8-9b4dbb5a1bbb,"Wed, 15 Ju",FUNDING_EVENT,Optimal Adaptive Market Making: A Theoretical Framework,,,arXiv cs.AI,https://arxiv.org/abs/2607.11888,"arXiv:2607.11888v1 Announce Type: new 
Abstract: We develop a rigorous theoretical framework for optimal market making in perpetual futures markets with zero maker fees. We model the market maker's problem as a stochastic optimal control problem on a filtered probability space, where the controls...",Optimal Adaptive Market Making: A Theoretical Framework for High-Yield Liquidity Provision in Perpetual Futures Markets,
7f12d048-e94e-446d-a249-65c6b54f8725,"Wed, 15 Ju",FUNDING_EVENT,LLM,Claude,,arXiv cs.AI,https://arxiv.org/abs/2607.12227,"arXiv:2607.12227v1 Announce Type: new 
Abstract: We revisit the evaluation of automatic harness evolution for LLM agents. Existing harness evolution methods use unit test cases to search for harness configurations and then report final performance on the same public benchmark.",Rethinking the Evaluation of Harness Evolution for Agents,
262aa9a9-f339-48e3-9a0d-345d1df87ea4,"Wed, 10 Ju",FUNDING_EVENT,Google DeepMind,,,Google DeepMind,https://deepmind.google/blog/investing-in-multi-agent-ai-safety-research/,Google DeepMind and partners announce a $10M funding call for multi-agent safety research.,Investing in multi-agent AI safety research,10000000
3fe6a86d-5a26-43fb-99b6-c16508a2a1bf,"Wed, 08 Ju",FUNDING_EVENT,AI,,,arXiv cs.AI,https://arxiv.org/abs/2607.05456,"arXiv:2607.05456v1 Announce Type: new 
Abstract: While recent advances in large language models have enabled end-to-end automated manuscript generation, existing systems suffer from three critical deficiencies: (i) generated claims are not deterministically grounded in verifiable literature, (ii)...",Prompt-to-Paper: Agentic AI System for Bioinformatics,
051d56aa-52f9-4c7c-b611-f108e540d525,"Wed, 08 Ju",FUNDING_EVENT,AI,,,arXiv cs.AI,https://arxiv.org/abs/2607.05571,"arXiv:2607.05571v1 Announce Type: new 
Abstract: Large language models are increasingly explored as AI tutors, yet deploying them in K-12 settings raises concerns around privacy, cost, and reliance on proprietary models. Small language models (SLMs) offer a promising alternative, but selecting th...",CSTutorBench: Benchmarking Small Language Models as Tutors for Block-Based Programming,
6266aab7-bf6e-4917-85d3-7143aeac1046,"Wed, 08 Ju",FUNDING_EVENT,Intel,,,arXiv cs.LG,https://arxiv.org/abs/2607.05436,"arXiv:2607.05436v1 Announce Type: new 
Abstract: The rapid scaling of over-parameterized machine learning architectures, particularly LLMs, raises a profound crisis: do these systems exhibit genuine intelligence, or are they merely sophisticated statistical pattern matchers? Classical flat Euclid...",Statistically Meaningful Geometry and Gauge Symmetry Breaking: A Geometric Foundation for Scientific Discovery and Intelligence Emergence,
69217abd-6c2b-4b86-bb0f-b5b76c66d1f9,"Wed, 07 Ja",FUNDING_EVENT,Hugging Face,DeepSeek,,VentureBeat AI,https://venturebeat.com/technology/nous-researchs-nouscoder-14b-is-an-open-source-coding-model-landing-right-in,"<p><a href=""https://nousresearch.com/"">Nous Research</a>, the open-source artificial intelligence startup backed by crypto venture firm <a href=""https://www.paradigm.xyz/"">Paradigm</a>, released a new competitive programming model on Monday that it says matches or exceeds several larger proprieta...",Nous Research's NousCoder-14B is an open-source coding model landing right in the Claude Code moment,65000000
598e57c2-d93f-4d4f-9834-7aabae72db91,"Wed, 01 Ju",FUNDING_EVENT,Meta,,,arXiv cs.AI,https://arxiv.org/abs/2606.30997,"arXiv:2606.30997v1 Announce Type: new 
Abstract: We present a three-phase deep reinforcement learning system for personalized portfolio management that addresses three limitations shared by all prior financial RL work: 1) ticker lock-in, 2) monolithic objectives , and 3) static user models. Phase...",A Three-Phase Foundation Model for Tax-Aware Personalized Portfolio Management,
14567a98-6dfb-4f2d-bef5-667c9b808907,"Wed, 01 Ju",FUNDING_EVENT,TS,,,arXiv cs.LG,https://arxiv.org/abs/2606.30778,"arXiv:2606.30778v1 Announce Type: new 
Abstract: Mapping a chemical reaction network, the graph of minima and transition states (TS) and the elementary reactions connecting them, is the natural language of chemistry, from catalysis to combustion to the origin of life. Constructing such a reaction...",ReactionAtlas: Ab origine exploration of chemical reaction networks with machine learning,
56beb7d1-fb9f-419a-a990-31e7b88851e3,"Tue, 30 Ju",FUNDING_EVENT,,,,arXiv cs.LG,https://arxiv.org/abs/2606.28525,"arXiv:2606.28525v1 Announce Type: new 
Abstract: Fine-tuning on harmless data can partially undo behaviors acquired earlier in training. Safety can erode under benign post-alignment updates, unlearned capabilities can re-emerge, latent traits can transfer through apparently unrelated supervision,...",A Gravitational Interpretation of Fine-Tuning Reversion,
b5ff7585-2dcc-4666-874c-8b010c862f1e,"Tue, 27 Ma",FUNDING_EVENT,,,,TechCrunch AI,https://techcrunch.com/2025/05/27/gridcare-thinks-more-than-100-gw-of-data-center-capacity-is-hiding-in-the-grid/,Gridcare raised $13.3 million for its data platform that finds underutilized capacity on the electrical grid.,Gridcare thinks more than 100 GW of data center capacity is hiding in the grid,13300000
92f3e961-7c6d-4204-a19f-779ebedb93cc,"Tue, 23 Ju",FUNDING_EVENT,ToT,Llama,,arXiv cs.AI,https://arxiv.org/abs/2606.20599,"arXiv:2606.20599v1 Announce Type: new 
Abstract: Tree of Thought (ToT) search has become a promising direction for improving the reasoning capabilities of large language models, but deploying these methods in practice raises a question that has received little systematic attention: how do differe...",Beyond Fixed Budgets: Characterizing the Inelasticity and Limitations of Tree-of-Thought Reasoning Strategies,
