event_id,date,category,company,product,location,source,url,summary,title
68b224d2-211c-413a-9c67-9421e2735246,"Wed, 20 Au",DATACENTER_EXPANSION,Meta,,,TechCrunch AI,https://techcrunch.com/2025/08/20/meta-to-add-100-mw-of-solar-power-from-u-s-gear/,The social media company is adding another tranche of solar to power a new AI data center in South Carolina.,Meta to add 100MW of solar power from US gear
ab8ed085-d6b4-4c52-b6a6-910fc0e03f29,"Wed, 10 Ju",DATACENTER_EXPANSION,OpenAI,,,OpenAI Blog,https://openai.com/index/prc-linked-influence-operations-ai-debates,"A new report from OpenAI details PRC-linked influence operations using AI to target U.S. tech debates, data center narratives, tariffs, and false claims  about ChatGPT.",PRC-linked influence operations are targeting AI debates in the US
3abb8c81-6034-4848-b5ca-5622cffd6262,"Tue, 16 Ju",DATACENTER_EXPANSION,Cohere,,Texas,NVIDIA Blog,https://blogs.nvidia.com/blog/coherent-texas-ai-optical/,"AI runs at the speed of light. More and more, that light is made in Texas.","Coherent Breaks Ground on Expanded Texas Facility, Scaling AI’s Optical Backbone"
8f6b2dbc-20e6-4658-a38e-8800d16eb6ea,"Thu, 22 Ma",DATACENTER_EXPANSION,Meta,,,TechCrunch AI,https://techcrunch.com/2025/05/22/meta-adds-another-650-mw-of-solar-power-to-its-ai-push/,The company already has more than 12 gigawatts of capacity in its renewable power portfolio.,Meta adds another 650 MW of solar power to its AI push
fa2e9256-ce60-4d28-9a8d-6f20ef6aefb1,"Thu, 20 Ma",DATACENTER_EXPANSION,Microsoft,,,TechCrunch AI,https://techcrunch.com/2025/03/20/solar-notches-another-win-as-microsoft-adds-475-mw-to-power-its-ai-data-centers/,The company recently signed a deal with energy provider AES for three solar projects across the Midwest.,Solar notches another win as Microsoft adds 475 MW to power its AI data centers
594c7f8d-a69e-4e17-924b-6ada98db13f0,"Thu, 13 Fe",DATACENTER_EXPANSION,,,,TechCrunch AI,https://techcrunch.com/2025/02/13/data-center-tweaks-could-unlock-76-gw-of-new-power-capacity-in-the-u-s/,A new study argues that data centers could be ideal demand-response participants because they have the potential to be flexible.,Data center tweaks could unlock 76 GW of new power capacity in the US
3237d0f0-ab8d-484e-8948-965434d86269,"Mon, 27 Ap",DATACENTER_EXPANSION,,,,TechCrunch AI,https://techcrunch.com/2026/04/27/data-center-demand-drives-66-surge-in-natural-gas-power-plant-costs/,Natural gas power plant costs have nearly doubled in two years and take 23% longer to build as data center electricity demand skyrockets.,Data center demand drives 66% surge in natural gas power plant costs
e5fd293e-ccb9-49b3-b1e1-818d68214038,"Mon, 02 Ju",DATACENTER_EXPANSION,Microsoft,,,TechCrunch AI,https://techcrunch.com/2025/06/02/breakneck-data-center-growth-challenges-microsofts-sustainability-goals/,Microsoft's sustainability goals are imperiled by its push into AI and cloud services.,Breakneck data center growth challenges Microsoft’s sustainability goals
7b919b7a-cb4a-4c37-b681-ae136928d791,2026-06-19,DATACENTER_EXPANSION,connectionsFERC,,,Biztoc.com,https://biztoc.com/x/8fc78d47ca9bfa2d,"'Not the old sleepy agency: Energy regulator dives into fight over data center connectionsFERC Chairman Laura Swett discussed how the agency threaded a needle amid pressure from the White House, Big … [+146 chars]",'Not the old sleepy agency’: Energy regulator dives into fight over data center connections
96b9be5e-0734-40e8-8a3b-131b5a4090ad,2026-06-18,DATACENTER_EXPANSION,Amazon,,,The Verge AI,https://www.theverge.com/ai-artificial-intelligence/952180/amazon-seattle-data-center-moratorium-aecj-disciplinary-action,"When three Amazon software engineers testified earlier this month at Seattle City Council hearings about data centers, they started their testimony by citing a city law barring employment discrimination over political speech. Now, they're accusing their employer of breaking that law by retaliatin...",Amazon employees say they’re facing termination for backing data center limits
a84a8722-05c2-4ca8-b169-84eb4307293a,2026-06-18,DATACENTER_EXPANSION,GE Vernova Stock's,,,Trefis,https://www.trefis.com/articles/603586/what-ge-vernova-stocks-shadow-backlog-was-saying-before-the-surge/2026-06-18,"Trefis: GEV Stock Insights
The official order book was only half the story; the real tell was hiding in a different, less-watched number that quantified the data center boom before it became the mai… [+3526 chars]",What GE Vernova Stock's Shadow Backlog Was Saying Before The Surge
07cc8981-467a-42ab-91f4-6aa6ec41b290,2026-06-17,DATACENTER_EXPANSION,Digital Realty Launches ServiceFabric,,AUSTIN,GlobeNewswire,https://www.globenewswire.com/news-release/2026/06/17/3313653/0/en/Digital-Realty-Launches-ServiceFabric-MCP-Bringing-AI-Native-Programmable-Control-to-800-Data-Centers.html,"AUSTIN, Texas, June 17, 2026 (GLOBE NEWSWIRE) -- Digital Realty (NYSE: DLR), the worlds largest cloud- and carrier-neutral data center platform, today announced the availability of ServiceFabric® Mod… [+7902 chars]","Digital Realty Launches ServiceFabric® MCP, Bringing AI-Native Programmable Control to 800+ Data Centers"
21f63750-90d3-41fa-a86f-30ea2b9a95e5,2026-06-17,DATACENTER_EXPANSION,,,US,Theregister.com,https://www.theregister.com/on-prem/2026/06/17/only-half-of-us-datacenter-capacity-planned-for-2026-is-actually-under-construction/5257781,"Don't count your bit barns before they've at least started to hatch. Developers continue to announce new datacenter construction projects, but construction work for many due to come online this year … [+2490 chars]",Only half of US datacenter capacity planned for 2026 is actually under construction
31007036-bc06-4ca6-9108-d71e03b72d7a,2026-06-17,DATACENTER_EXPANSION,Applied Optoelectronics Stock,,,Biztoc.com,https://biztoc.com/x/a67d17fbd9a5ee78,"Applied Optoelectronics Inc. (NASDAQ:AAOI) shares are trading flat on Wednesday as the market continues to digest a momentum-heavy ""AI datacenter plumbing"" trade in optical connectivity.",Applied Optoelectronics Stock Pauses Wednesday: What's Going On?
5165578b-1b09-459b-98af-ecf354c708a9,2026-06-16,DATACENTER_EXPANSION,House,,,Biztoc.com,https://biztoc.com/x/658c63cfee83ff5c,Energy and Commerce Chair Brett Guthrie's district is one of the country's data center battlegrounds. Legislation on the issue runs through him.,Powerful House Republican getting pressure on data centers back home
15f94348-4618-4914-a663-7cad14f31e74,2026-06-16,DATACENTER_EXPANSION,DTE Energy,,Michigan,Crypto Briefing,https://cryptobriefing.com/dte-energy-ai-infrastructure-beneficiary/,"Michigan's largest utility is locking in massive data center contracts worth billions, and the ripple effects could reshape how energy-intensive industries compete for power. The AI boom needs electr… [+3013 chars]",DTE Energy emerges as top beneficiary of AI infrastructure projects
